Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Float shares outstanding
CHDRF,Christian Dior S.E.,787.71,USD,0.988461538461543,21,0.4312114989733059,142111220725.3799,USD,20.437151638176438,38.543042295999996,USD,23.738807913995338,1.8732,Consumer Non-Durables,,4409426.81522401
GVDBF,Givaudan SA,4705.84,USD,2.50141581354825,3,0.16666666666666666,43425099605.48669,USD,41.06784246376943,114.58697895200001,USD,18.303591522556122,1.56863,Consumer Non-Durables,Neutral,8745977.938026
LEN.B,Lennar Corporation,141.75,USD,-0.9364735481165725,8897,0.34050940543850583,42326165065.88336,USD,9.929738779570307,14.2753,USD,-11.536840800644486,1.22301,Consumer Durables,Buy,9640250.2164
HLAGF,Hapag-Lloyd Aktien,172.5,USD,-1.9886363636363635,31,0.38895859473023836,30318647944.362152,USD,20.980898479185285,8.221764199999999,USD,-90.96113736993732,5.5925,Transportation,Sell,6327360
TCKRF,Teck Resources Ltd.,47.45,USD,0.26730905364142565,100,0.2796420581655481,24549408306.717194,USD,20.96476629123609,2.2633211999999996,USD,-43.35318256799661,0.765579,Energy Minerals,Buy,1855528.49439
AMKAF,A.P. Moeller-Maersk A/S,1688,USD,1.0778443113772456,5,0.14662756598240467,23994054690.669785,USD,17.099649915899146,98.71547127,USD,-93.04203759018553,4.63129,Transportation,Neutral,2062119.5656600003
NVR,"NVR, Inc.",7559.225,USD,-1.2878941217182367,5506,0.2732085882568935,23678313307.610332,USD,15.755655995422888,479.7785,USD,0.9022936846802933,0,Consumer Durables,Buy,2993493.2436800003
AMKBF,A.P. Moeller-Maersk A/S,1668.72,USD,1.4419452887538011,3,0.11194029850746269,23096882052.500446,USD,16.90434111828153,98.71547127,USD,-93.04203759018553,4.50963,Transportation,Neutral,1675035.722376
RCIAF,"Rogers Communications, Inc.",40.9,USD,1.0375494071146287,100,0.21155066638459913,20481299804.99288,USD,49.521844194446444,0.8258981599999999,USD,-68.5161435958598,3.55872,Communications,Strong buy,2642861.1040000003
SARTF,Sartorius AG,216.68,USD,1.727699530516435,2,0.02958579881656805,16726334702.909925,USD,92.39271680340302,2.3452065,USD,-73.8209699927154,0.373593,Health Technology,Neutral,1488637.82372
