Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Float shares outstanding,Volume 1 minute
CLCS,"Cell Source, Inc.",0.35,USD,43649.99999999999,18687,3.643187179537169,30837,USD,,-0.1735,USD,3.8781163434903085,0,Health technology,,31396699.9734,205
HENC,Hero Technologies Inc.,0.0001,USD,9900.000000000002,637349,4.843592783426808,553,USD,,,,,,Process industries,,,633349
HVCW,"Harrison, Vickers & Waterman, Inc.",0.0001,USD,9900.000000000002,4200398,27.995486488792203,7705,USD,,,,,0,Consumer services,,7610810525.799999,100
SAGD,SOUTH AMERICAN GOLD CORP,0.00001,USD,900,500000,15.98864166895837,6773,USD,,,,,,Process industries,,,500000
GPXM,GOLDEN PHOENIX MINERALS INC,0.0001,USD,900,697175,24.132052613361026,4618,USD,,,,,,Non-energy minerals,,,697175
BYRRF,Bayridge Resources Corp.,0.1768,USD,784.0000000000001,33050,4.504688692618035,12308590.29787234,USD,,,,,0,Non-energy minerals,,65298633.50434999,1000
IPWG,INTERNATIONAL POWER GROUP LTD,0.000008,USD,700,2282500,4.382232844110394,65474.00000000001,USD,,,,,,Industrial services,,,2500
GRGG,GREEN FOR ENERGY INC,0.17,USD,240,5000,7.68521364893944,,,,,,,,Process industries,,,5000
FNNZF,Fincanna Capital Corp.,0.001,USD,233.3333333333334,491000,5.040953900425247,3231265.4428100004,USD,,-0.00037195,USD,99.90341193101428,0,Finance,,887436705.072,358950
ATVVF,Australian Vanadium Limited,0.0085,USD,183.33333333333334,385000,8.350558619837024,73243635.26666668,USD,,-0.0015657940000000001,USD,-54.16335194826677,0,Producer manufacturing,Strong buy,7173534782.4,50000
BYROF,Byron Energy Ltd,0.09,USD,180.37383177570095,607000,13.16708532358058,38149255.389,USD,8.160573982131607,0.011028636,USD,-2.552262480861485,0,Energy minerals,,692988805.04,607000
IMNN,"Imunon, Inc.",3.32,USD,178.99159663865547,140395674,163.2495498580534,11187058,USD,,-2.0236,USD,51.661371616940976,0,Health technology,Strong buy,9292544.74275,479631
SCPXD,SCORPIUS HOLDINGS INC,5.8825,USD,156.31808278867106,44659,4.64985428013261,1134047,USD,,-280.092,USD,25.119902473974342,0,Health technology,,474811.27454400004,400
GRVE,"Groove Botanicals, Inc.",0.0124,USD,133.96226415094338,12500,4.62962962962963,739574,USD,,-0.0022,USD,90.09009009009009,0,Consumer non-durables,,55505359.9375,2500
AGDY,"Agri-Dynamics, Inc.",0.01,USD,132.55813953488374,96000,3.416613282084134,644230,USD,,,,,,Process industries,,,86400
