Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Volume 1 minute,Float shares outstanding
LBRDB,Liberty Broadband Corporation,65,USD,26.82926829268293,1445,10.425685425685426,9368019646.056875,USD,10.969353314432293,5.9256,USD,-10.210019092644785,0,Communications,,100,131575.55917999998
CWAN,"Clearwater Analytics Holdings, Inc.",23.52,USD,20.30690537084398,7810215,5.253234585106783,5787063104.482864,USD,,-0.0912,USD,-36.32286995515695,0,Technology services,Buy,151459,120003749.17398
SASOF,Sasol Ltd.,7.98,USD,10.833333333333336,7050,7.0825798673899945,5083367215.564847,USD,32.04214722860723,0.24904698000000003,USD,-73.49226924934817,8.14388,Process industries,Buy,2525,579167457.03009
KOSCF,Kose Corp.,67,USD,35.641259236764846,1465,5.524132730015083,3822343303.677116,USD,39.33606855061675,1.703271386,USD,-39.19025201037643,1.4021,Consumer non-durables,Neutral,840,30812256.66302
ORPEF,Orpea ACT,14.22,USD,42.2,400,78.73395795606645,2263571660.935085,USD,0.0023587764331349146,6028.549293712,USD,8908.634371401657,0,Health services,Sell,200,84851860.26799999
OMCL,"Omnicell, Inc.",38.85,USD,33.002396439575485,2312838,5.937765395370426,1784127625.2036972,USD,,-0.4611,USD,-13.042412355969606,0,Technology services,Buy,72886,44818259.1255
CDNA,"CareDx, Inc.",23.58,USD,17.958979489744873,4585958,5.923475895456022,1228135840.0370185,USD,,-3.4312,USD,-127.33717617438546,0,Health technology,Buy,42250,48738197.107
ERII,"Energy Recovery, Inc.",17.59,USD,20.64471879286694,1772011,6.209864792598111,1008437343.3257887,USD,52.366775826138735,0.3359,USD,99.34718100890206,0,Producer manufacturing,Strong buy,19968,55439564.664400004
SCCAF,Sleep Country Canada Holdings Inc.,25.12,USD,12.24307417336909,35446,14.636220992650093,851599480.3380926,USD,17.26557334439613,1.45491838,USD,-31.01593912326703,2.70702,Retail trade,Sell,100,33330910.627500005
FDRVF,FD Technologies Plc,19.57,USD,10.253521126760564,3358,6.95814338997099,552258377.3709043,USD,,-1.83298583,USD,-696.0587594259633,0,Technology services,Strong buy,3358,24159081.755999997
GENK,"GEN Restaurant Group, Inc.",9.55,USD,10.40462427745665,379390,5.541687177097651,309409195.8034682,USD,39.46280991735538,0.242,USD,-32.759099749930535,0,Consumer services,Strong buy,900,3913505.426754
JAKK,"JAKKS Pacific, Inc.",24.37,USD,15.82699619771864,572823,7.9706761027073885,263217746.51853615,USD,8.141788052919953,2.9932,USD,-65.91858810133789,0,Consumer durables,Strong buy,8266,7934135.922900001
MX,Magnachip Semiconductor Corporation,5.75,USD,12.966601178781929,1643136,6.107538040716772,220039897.4459725,USD,,-0.7787,USD,12.110609480812649,0,Electronic technology,Buy,5916,35880731.1716
SLVMF,"Silver Mines Ltd., Sydney",0.1398,USD,28.25688073394496,57553,5.183460623964263,210823469.77935484,USD,,-0.0015657940000000001,USD,-2058.286927275735,0,Non-energy minerals,,57553,1385463492.72
AMWL,American Well Corporation,11.23,USD,40.19975031210987,908766,6.240320377729294,167955864.5780275,USD,,-24.3926,USD,43.18873118720333,0,Technology services,Neutral,19430,11606849.9875
TRIS.U,Tristar Acquisition I Corp.,10.3,USD,22.47324613555292,26046,15.929300960185921,153445563,USD,,,,,0,Finance,,500,23000000
FHGDF,Founder Holdings Ltd.,0.0661,USD,10.16666666666668,20000,6.622516556291391,79303273.63107143,USD,10.3671736073404,0.006375894,USD,37.35449466449914,0,Technology services,,20000,1185904885
WANSF,CIRATA PLC,0.5,USD,24.999999999999993,179928,6.0638781886014135,62968229.84562607,USD,,-0.46948239999999997,USD,26.38794577258426,0,Technology services,Strong buy,500,98460794.752
PXHI,"PhoneX Holdings, Inc.",1.56,USD,23.809523809523814,16277,14.714337371180617,44238481.17293233,USD,10.677618069815194,0.1461,USD,-28.696925329428986,0,Technology services,,200,21201319.898000002
IMRX,Immuneering Corporation,1.35,USD,19.469026548672584,67072733,88.11838071632714,40032029.07079646,USD,,-1.8583,USD,4.1915858939987585,0,Health technology,Buy,136710,21005015.5434
TWG,Top Wealth Group Holding Limited,1.05,USD,20.689655172413797,2724551,50.58579650946899,30450000,USD,,,,,0,Distribution services,,2243,2000014.0000000002
TOEYF,Toro Energy Ltd.,0.2527,USD,51.40802875973637,20000,6.75812664729337,30395225.17966666,USD,,-0.05323699600000001,USD,-70.6552454125,0,Non-energy minerals,Strong buy,20000,105332751.63000001
TECFF,TECO 2030 ASA,0.15,USD,15.384615384615378,100000,6.946856547412296,30255428.598726116,USD,,,,,0,Producer manufacturing,,30000,84052947.838848
