Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Float shares outstanding,Volume 1 minute,Change from Open % 1 day
WHLM,"Wilhelmina International, Inc.",6.05,USD,11.0091743119266,12227,5.149077739408742,31201932.56338028,USD,85.45197740112994,0.0708,USD,-87.61804826862539,0,Commercial services,,33172.0108799995,128,14.377540410246706
ALDA,"Atlantica, Inc.",0.0106,USD,1059900.0000000002,11733,17.47542448614835,26061,USD,,-0.1659,USD,-13.010899182561293,0,Finance,,67790.7020699999,11733,0
DTCK,Davis Commodities Limited,1.28,USD,23.076923076923077,577991,6.260164803029188,31360801.28,USD,34.97267759562842,0.0366,USD,-74.44134078212291,0,Distribution services,,312137.97523999895,100,16.36363636363636
PSIG,PS International Group Ltd.,2.34,USD,131.68316831683165,176215904,286.20904530611614,24525767,USD,,-0.3106,USD,-558.1120943952801,0,Transportation,,505474.00255,10634,63.63636363636363
GNLN,"Greenlane Holdings, Inc.",15.28,USD,518.3731282881424,40516087,199.3827436206637,1307233,USD,,-104.5004,USD,94.92950092408886,0,Distribution services,,528867.0587599999,10930,60.672975814931654
WHLR,"Wheeler Real Estate Investment Trust, Inc.",2.9603,USD,45.11274509803922,4518167,37.05389756837659,1156301,USD,,-3704.0918,USD,-26.264206075530318,0,Finance,,541167.366942,725,24.38235294117648
FNCH,"Finch Therapeutics Group, Inc.",8.99,USD,121.40130525797315,205659,8.569517769564438,6520201,USD,,-10.1437,USD,89.48680318473055,0,Health services,,727439.78944,611,10.442260442260437
CELZ,"Creative Medical Technology Holdings, Inc.",3.325,USD,13.86986301369864,55006,16.20970118465256,4482519.041095891,USD,,-4.0652,USD,38.80475688694867,0,Health technology,Strong buy,1311358.4061200002,275,11.577181208053698
MARPS,Marine Petroleum Trust,4.32,USD,14.285714285714299,202336,9.441276655312398,8640000,USD,10.786516853932584,0.4005,USD,-48.34257706694183,9.60487,Miscellaneous,,1611634,100,13.382850843809887
WAVD,"WaveDancer, Inc.",2.9801,USD,36.70183486238532,258039,6.794576746047629,5999478.538211009,USD,,-0.679,USD,92.46877703587035,0,Technology services,,1701799.43622,4037,30.135371179039304
APM,Aptorum Group Limited,3.11,USD,15.180919225213879,43276,6.127314945913802,16115075.286100514,USD,,-0.9115,USD,87.35292485292486,0,Health technology,,2166075.53344,799,6.143344709897601
KLYG,"Kelyniam Global, Inc.",0.165,USD,37.500000000000014,202511,11.757626075546629,2079000.0000000005,USD,,-0.0006,USD,90.625,0,Health technology,,2731705.1999999997,5000,49.727767695099814
NUTX,Nutex Health Inc.,11.81,USD,16.93185081040407,496266,12.514777679147837,58718590.579114646,USD,,-8.3828,USD,91.85760423496272,0,Health services,Strong buy,2805272.9587399997,116,12.583412774070545
MDIA,Mediaco Holding Inc.,4.8101,USD,19.35732009925558,196583,7.548835512547281,224654458.89312652,USD,,-0.4648,USD,64.15516310634688,0,Consumer services,,2988183.272,132,19.061881188118818
ENTO,Entero Therapeutics Inc.,0.3045,USD,28.102650399663442,21564774,49.20445836081837,990626.7627261254,USD,,-49.2262,USD,94.00672156120216,0,Health technology,Strong buy,3128373.42387,100,24.795081967213115
CNFR,"Conifer Holdings, Inc.",1.12,USD,43.5897435897436,920382,285.6732261468744,13689626.461538462,USD,,-2.1824,USD,-192.07708779443254,0,Finance,,3388224.5486999997,300,23.29370321444299
AIMD,"Ainos, Inc.",0.5863,USD,12.490406753645443,15873460,33.86619900109022,4492829.72390637,USD,,-3.0642,USD,28.848743788603542,0,Health technology,,3631666.10142,200,-8.676012461059186
