Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Volume 1 minute,Float shares outstanding
STOHF,Equinor ASA,26.2,USD,0.7692307692307665,260898,16.65090275517433,72871076787.46097,USD,8.030010712279482,3.2627602799999997,USD,-55.051666312584715,4.59455,Energy minerals,Sell,777,822222975.6346049
VLVLY,Volvo AB,24.414,USD,-1.3177041228779183,470420,6.884178331272363,50404756768.95359,USD,9.469029980995229,2.5783,USD,41.945606694560674,2.14624,Producer manufacturing,Buy,500,
DNBBY,DNB ASA,19.9975,USD,-2.2127139364303208,857507,13.336532001194445,30398146536.32992,USD,8.30357513598804,2.4083,USD,,5.20392,Finance,Neutral,183,
NJDCY,Nidec Corp.,10.28,USD,-4.85005553498705,757471,13.497609539745076,25978068056.131245,USD,30.306603773584904,0.3392,USD,74.66529351184346,0.906869,Producer manufacturing,Buy,268,
ERIXF,Ericsson (L.M.) Telephone Co.,6.55,USD,-2.238805970149259,3354908,8.724454914655327,21821318783.75341,USD,,-1.01080533,USD,-401.52267851432555,3.68249,Electronic technology,Neutral,200,2847533577.15018
SMEGF,Siemens Energy AG,26.057,USD,-10.364637082903343,113312,42.22859911303246,20376291846.467358,USD,,-2.8089606999999996,USD,-150.21687889265388,0,Producer manufacturing,Buy,4000,544555528.4
SGBLY,Standard Bank Group Ltd.,12.17,USD,-1.8548387096774226,388249,6.327818514600878,19784616742.5648,USD,8.52658866391088,1.4273,USD,,4.55746,Finance,,154,
TNRSF,Tenaris S.A.,14.91,USD,-7.815011747248667,152200,10.258484143834462,17601804359.591473,USD,4.987673822188927,2.9893695,USD,6.9693383776757765,4.12255,Non-energy minerals,Buy,200,454302323.018856
CHEAF,China Eastern Airlines Corp. Ltd.,0.247,USD,-7.835820895522394,252063,8.529502333183315,7917904207.200001,USD,,-0.0524923,USD,53.31730823830168,0,Transportation,Buy,252063,1399330225.02
MSSMY,"Misumi Group, Inc.",8.08,USD,-7.796238816870543,400471,17.155788409472564,5192442240.869373,USD,21.76137893886345,0.3713,USD,-2.005806281340722,0.81379,Producer manufacturing,,169295,
GNGYF,Guangshen Railway Co. Ltd.,0.3093,USD,8.5263157894737,519060,26.32363680623174,3275494467.6540484,USD,14.535740297781066,0.021278586,USD,,0,Transportation,Strong buy,150000,1431300000
CYAGF,Cyber Agent Inc.,6.4,USD,-4.477611940298504,2500180,58689.67136150235,3238600976.565456,USD,32.17724824323889,0.19889830079999998,USD,120.26668173012753,1.49328,Technology services,Buy,180,407924025.7752
