"No.","Ticker","Company","Country","Market Cap","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Interest","Performance (Half Year)","Volatility (Week)","Volatility (Month)","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Price","Change"
1,"KAVL","Kaival Brands Innovations Group Inc","USA",14.41,0.84,70.52%,0.00%,0.14%,-82.26%,31.96%,0.27,21.52%,41.46%,24.95%,3/27/2024 8:30:00 AM,20.57%,207.35%,2552.80,49.29,41845890,5.04,270.59%
2,"BIMI","BIMI Holdings Inc.","USA",22.37,0.93,91.93%,-0.04%,0.15%,5.76%,2.09%,0.02,-5.85%,11.84%,12.90%,,6.04%,5.88%,75.44,40.40,1006129,1.93,12.27%
3,"LGVN","Longeveron Inc","USA",23.24,4.42,30.39%,20.09%,0.78%,16.61%,1.25%,0.06,-82.40%,54.39%,19.72%,5/14/2024 4:30:00 PM,6.09%,28.25%,6414.60,34.44,73473659,3.66,36.06%
4,"TOP","TOP Financial Group Limited","Hong Kong",95.51,5.19,85.98%,0.00%,0.25%,-28.84%,12.56%,0.65,-40.42%,4.83%,5.27%,,6.17%,0.00%,171.86,2.21,126218,2.58,6.17%
5,"SMLR","Semler Scientific Inc","USA",274.81,5.49,22.24%,0.00%,51.01%,38.76%,8.70%,0.48,-15.92%,18.00%,10.97%,5/7/2024 4:30:00 PM,1.57%,-0.13%,222.38,3.21,235459,38.87,1.44%
6,"BRTX","BioRestorative Therapies Inc","USA",13.41,5.50,18.80%,29.29%,15.22%,2.02%,1.47%,0.08,2.61%,19.69%,9.26%,5/14/2024 4:30:00 PM,9.41%,-7.18%,2008.17,2.25,1501240,1.98,1.56%
7,"SISI","Shineco Inc","China",26.12,6.43,0.26%,0.00%,0.87%,3.20%,2.95%,0.19,304.94%,26.63%,23.76%,,9.15%,0.00%,295.19,3.21,312937,4.05,9.15%
8,"GREE","Greenidge Generation Holdings Inc","USA",34.73,6.83,30.42%,-1.09%,9.84%,7.86%,2.15%,0.15,-33.21%,11.73%,10.48%,5/2/2024 4:30:00 PM,5.04%,0.00%,188.99,3.77,234919,3.54,5.04%
9,"MWG","Multi Ways Holdings Ltd","Singapore",11.26,10.26,66.75%,0.00%,0.31%,,0.51%,0.05,57.33%,25.78%,22.39%,,-3.72%,17.77%,400.51,61.56,8198881,0.37,13.39%
10,"IPW","iPower Inc","USA",103.18,10.90,63.43%,0.11%,2.82%,-31.46%,2.64%,0.29,565.38%,19.96%,31.66%,5/14/2024 4:30:00 PM,6.46%,5.52%,610.60,3.87,786577,3.46,12.34%
11,"SDIG","Stronghold Digital Mining Inc","USA",54.99,10.93,15.66%,-15.59%,16.94%,2.73%,2.52%,0.28,-16.54%,13.66%,11.61%,5/2/2024 8:30:00 AM,7.34%,0.51%,408.17,3.82,517927,4.24,7.89%
12,"IRON","Disc Medicine Inc","USA",1128.10,12.96,47.57%,-13.24%,61.32%,4.10%,14.50%,1.88,-22.82%,6.65%,5.91%,5/9/2024 8:30:00 AM,14.57%,1.71%,489.86,2.34,381413,45.63,16.53%
