"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Volume","Price","Change"
1,"PTWO","Pono Capital Two Inc","Financial","Shell Companies","USA",78.93,,196506,15.12,11.18%
2,"WAVS","Western Acquisition Ventures Corp","Financial","Shell Companies","USA",42.36,,187600,12.00,10.19%
3,"DHAC","Digital Health Acquisition Corp","Financial","Shell Companies","USA",61.20,,1964049,17.00,13.33%
4,"GCTK","GlucoTrack Inc","Healthcare","Medical Instruments & Supplies","USA",12.71,,119766,2.32,12.15%
5,"AFBI","Affinity Bancshares Inc","Financial","Banks - Regional","USA",132.32,22.14,226660,20.61,21.56%
6,"SMLR","Semler Scientific Inc","Healthcare","Medical Devices","USA",207.36,10.56,329074,29.33,1.00%
7,"CCIF","Carlyle Credit Income Fund","Financial","Closed-End Fund - Debt","USA",97.49,278.67,227642,8.36,2.58%
8,"GCBC","Greene County Bancorp Inc","Financial","Banks - Regional","USA",535.25,21.85,140919,31.43,1.22%
9,"EVE","EVe Mobility Acquisition Corp","Financial","Shell Companies","USA",159.55,48.53,100202,11.04,0.06%
10,"MNTN","Everest Consolidator Acquisition Corp","Financial","Shell Companies","USA",131.74,,276146,11.26,0.09%
11,"CTRN","Citi Trends Inc","Consumer Cyclical","Apparel Retail","USA",208.63,,239024,24.43,1.24%
12,"RICK","RCI Hospitality Holdings Inc","Consumer Cyclical","Restaurants","USA",417.42,21.82,189213,44.74,4.02%
13,"LCW","Learn CW Investment Corp","Financial","Shell Companies","USA",164.33,,425489,10.89,0.09%
14,"ARTNA","Artesian Resources Corp.","Utilities","Utilities - Regulated Water","USA",369.10,21.04,375133,35.87,2.05%
15,"LUCY","Innovative Eyewear Inc","Healthcare","Medical Instruments & Supplies","USA",14.77,,92692663,0.85,6.97%
16,"AREN","Arena Group Holdings Inc","Communication Services","Internet Content & Information","USA",28.12,,108949,0.95,11.11%
17,"VOXX","VOXX International Corp","Technology","Consumer Electronics","USA",83.17,,115320,3.69,1.65%
18,"GCO","Genesco Inc.","Consumer Cyclical","Apparel Retail","USA",331.46,,719621,28.50,4.40%
19,"USNA","Usana Health Sciences Inc","Consumer Defensive","Packaged Foods","USA",906.78,14.86,192725,47.60,1.86%
20,"VPG","Vishay Precision Group Inc","Technology","Scientific & Technical Instruments","USA",450.83,18.66,382400,33.77,2.06%
21,"KIRK","Kirkland's Inc","Consumer Cyclical","Home Improvement Retail","USA",32.21,,328415,2.47,2.92%
22,"DXYN","Dixie Group Inc.","Consumer Cyclical","Textile Manufacturing","USA",15.24,,283610,0.96,7.07%
23,"CSV","Carriage Services, Inc.","Consumer Cyclical","Personal Services","USA",407.92,13.25,567041,26.89,1.01%
24,"FCO","abrdn Global Income Fund Inc","Financial","Closed-End Fund - Debt","USA",73.76,12.79,152608,5.50,1.10%
25,"SMBK","SmartFinancial Inc","Financial","Banks - Regional","USA",394.77,14.80,279533,23.14,0.61%
26,"ALNT","Allient Inc","Technology","Electronic Components","USA",454.74,17.95,215807,27.10,1.23%
27,"BNAI","Brand Engagement Network Inc","Technology","Software - Infrastructure","USA",181.26,,67605189,5.44,110.85%
28,"RRGB","Red Robin Gourmet Burgers Inc","Consumer Cyclical","Restaurants","USA",126.36,,1018693,8.10,4.79%
29,"PRAX","Praxis Precision Medicines Inc","Healthcare","Biotechnology","USA",812.04,,701377,47.46,4.35%
30,"GYRE","Gyre Therapeutics Inc","Healthcare","Biotechnology","USA",971.39,,178488,11.36,9.13%
31,"NVOS","Novo Integrated Sciences Inc","Healthcare","Medical Care Facilities","USA",17.65,,308320072,1.05,132.82%
32,"OPAD","Offerpad Solutions Inc","Real Estate","Real Estate Services","USA",132.40,,573181,4.85,0.41%
33,"ALLR","Allarity Therapeutics Inc","Healthcare","Biotechnology","USA",10.85,,8667433,0.62,6.21%
34,"MCFT","MasterCraft Boat Holdings Inc","Consumer Cyclical","Recreational Vehicles","USA",358.28,9.53,480234,21.10,1.10%
35,"WHF","WhiteHorse Finance Inc","Financial","Asset Management","USA",298.67,15.67,296278,12.85,0.39%
36,"JEWL","Adamas One Corp","Consumer Cyclical","Luxury Goods","USA",11.36,,277632,0.41,15.97%
37,"CIF","MFS Intermediate High Income Fund","Financial","Closed-End Fund - Debt","USA",31.60,11.13,104939,1.67,0.30%
38,"HSII","Heidrick & Struggles International, Inc.","Industrials","Staffing & Employment Services","USA",694.17,13.44,357155,34.28,1.84%
39,"SMP","Standard Motor Products, Inc.","Consumer Cyclical","Auto Parts","USA",669.79,11.33,280472,30.71,1.96%
40,"OBIO","Orchestra BioMed Holdings Inc","Healthcare","Biotechnology","USA",248.02,,180918,6.93,3.90%
41,"CHSCL","CHS Inc. - 7.50% PRF PERPETUAL USD 25 - Class B Ser 4","Consumer Defensive","Farm Products","USA",383.19,,198005,26.40,2.52%
42,"BKT","BlackRock Income Trust Inc","Financial","Closed-End Fund - Debt","USA",250.15,17.01,157273,11.74,2.62%
43,"GDEN","Golden Entertainment Inc","Consumer Cyclical","Resorts & Casinos","USA",876.32,3.26,586844,30.27,3.52%
44,"BBCP","Concrete Pumping Holdings Inc","Industrials","Engineering & Construction","USA",386.25,20.51,496206,7.17,0.99%
45,"BFST","Business First Bancshares Inc.","Financial","Banks - Regional","USA",546.76,8.47,119719,21.45,1.71%
46,"NPFD","Nuveen Variable Rate Preferred & Income Fund","Financial","Closed-End Fund - Equity","USA",425.53,,124633,17.61,1.56%
47,"FHTX","Foghorn Therapeutics Inc","Healthcare","Biotechnology","USA",322.57,,216234,5.83,0.52%
48,"HNRG","Hallador Energy Co","Energy","Thermal Coal","USA",332.16,16.61,1525043,8.97,11.29%
49,"TRC","Tejon Ranch Co.","Industrials","Conglomerates","USA",488.56,843.98,1207956,18.23,1.45%
50,"EE","Excelerate Energy Inc","Energy","Oil & Gas Midstream","USA",1916.00,24.13,554618,17.81,4.03%
51,"CBL","CBL& Associates Properties, Inc.","Real Estate","REIT - Retail","USA",704.33,214.35,233226,22.10,1.19%
52,"FGF","Fundamental Global Inc.","Financial","Insurance - Diversified","USA",34.90,5.63,274881,1.23,6.96%
53,"LYTS","LSI Industries Inc.","Technology","Electronic Components","USA",462.58,17.14,196802,15.88,3.52%
54,"CHCT","Community Healthcare Trust Inc","Real Estate","REIT - Healthcare Facilities","USA",649.84,37.87,340898,23.46,2.31%
55,"FFIC","Flushing Financial Corp.","Financial","Banks - Regional","USA",369.77,12.72,745958,12.72,1.92%
56,"JOF","Japan Smaller Capitalization Fund Inc.","Financial","Closed-End Fund - Foreign","USA",221.00,4.73,144558,7.80,0.91%
57,"BTAI","BioXcel Therapeutics Inc","Healthcare","Biotechnology","USA",67.93,,1834802,1.81,1.69%
58,"BTMD","biote Corp","Healthcare","Medical Care Facilities","USA",201.93,117.88,289169,6.66,1.52%
59,"FTK","Flotek Industries Inc","Energy","Oil & Gas Equipment & Services","USA",126.35,85.54,142110,4.26,4.67%
60,"MIY","BlackRock MuniYield Michigan Quality Fund Inc","Financial","Closed-End Fund - Debt","USA",320.35,24.58,103108,11.06,0.36%
61,"DRRX","Durect Corp","Healthcare","Drug Manufacturers - Specialty & Generic","USA",53.08,,556643,1.71,26.67%
62,"TBI","TrueBlue Inc","Industrials","Staffing & Employment Services","USA",330.16,,1477038,10.80,1.41%
63,"PHT","Pioneer High Income Fund Inc","Financial","Closed-End Fund - Debt","USA",213.31,7.42,290511,7.27,0.14%
64,"EVEX","Eve Holding Inc","Industrials","Aerospace & Defense","USA",1327.99,,289207,4.93,4.01%
65,"AMSWA","American Software Inc.","Technology","Software - Application","USA",340.84,34.85,950933,10.26,0.29%
66,"SHYF","Shyft Group Inc","Industrials","Farm & Heavy Construction Machinery","USA",435.47,,909025,12.67,0.16%
67,"DOMO","Domo Inc.","Technology","Software - Application","USA",254.21,,1196583,6.66,3.58%
68,"FNKO","Funko Inc","Consumer Cyclical","Leisure","USA",471.62,,1236626,9.04,1.92%
69,"TSE","Trinseo PLC","Basic Materials","Specialty Chemicals","USA",135.16,,877370,3.83,9.43%
70,"AMSC","American Superconductor Corp.","Industrials","Specialty Industrial Machinery","USA",693.17,,1790960,19.18,9.98%
71,"ASTH","Astrana Health Inc.","Healthcare","Medical Care Facilities","USA",2025.51,31.32,371193,41.43,3.42%
72,"SILK","Silk Road Medical Inc","Healthcare","Medical Devices","USA",857.43,,1959115,21.74,5.64%
73,"FMNB","Farmers National Banc Corp.","Financial","Banks - Regional","USA",458.86,8.45,248041,12.22,1.83%
74,"SRG","Seritage Growth Properties","Real Estate","REIT - Retail","USA",295.98,,1097373,5.26,0.19%
75,"BATRK","Atlanta Braves Holdings Inc","Communication Services","Entertainment","USA",2475.74,,342562,39.97,2.25%
76,"SBGI","Sinclair Inc","Communication Services","Entertainment","USA",939.76,,852589,14.20,12.08%
77,"COCO","Vita Coco Company Inc","Consumer Defensive","Beverages - Non-Alcoholic","USA",1649.95,31.72,1348363,29.11,3.85%
